ranking,hr_process_name,hr_system_name,region,hr_contact_channel,total_cases,automation_score,automation_priority,recommended_solution,estimated_operational_hours_saved
1,HR System Performance Issue,Payroll Payment Gateway,Europe,Internal Collaboration Tool,89,66.45,Alta,Automatización parcial con alertas SLA,688.42
2,Benefits Cancellation Request,Payroll System,Asia,Internal Collaboration Tool,84,65.56,Alta,Automatización parcial con alertas SLA,641.8
3,Benefits Reimbursement Request,Benefits Administration System,Europe,Phone,74,65.23,Alta,Automatización parcial con alertas SLA,625.23
4,Benefits Reimbursement Request,Employee Mobile App,Asia,Email,76,64.5,Alta,Automatización parcial con alertas SLA,672.98
5,Payroll Support Request,Payroll Payment Gateway,Asia,HR Chat / Virtual Assistant,82,64.38,Alta,Chatbot o asistente virtual,630.25
6,HR System Performance Issue,HR Case Management Platform,Africa,Internal Collaboration Tool,75,64.38,Alta,Automatización parcial con alertas SLA,627.64
7,HR Platform Bug Report,HR Case Management Platform,Australia,Phone,71,63.87,Alta,Automatización parcial con alertas SLA,576.52
8,Benefits Reimbursement Request,Employee Self-Service Portal,Europe,Phone,72,63.73,Alta,Automatización parcial con alertas SLA,565.99
9,HR Platform Bug Report,Payroll Payment Gateway,Europe,Phone,74,63.42,Alta,Automatización parcial con alertas SLA,602.43
10,HR System Enhancement Request,HR Case Management Platform,Africa,HR Chat / Virtual Assistant,85,63.37,Alta,Chatbot o asistente virtual,678.3
11,HRIS Access Suspension,HRIS Integration API,Asia,Email,74,63.35,Alta,Workflow automation,646.46
12,HRIS Login Issue,People Analytics Dashboard,Asia,Email,74,62.65,Alta,Workflow automation,671.07
13,HRIS Login Issue,HRIS Integration API,Africa,Email,77,62.55,Alta,Workflow automation,647.88
14,HRIS Access Suspension,HRIS Integration API,North America,HR Chat / Virtual Assistant,92,62.36,Alta,Chatbot o asistente virtual,711.3
15,HR System Performance Issue,People Analytics Dashboard,Europe,Email,65,61.96,Alta,Workflow automation,587.4
16,Benefits Reimbursement Request,HR Case Management Platform,North America,Email,88,61.88,Alta,Workflow automation,670.21
17,HR System Enhancement Request,Employee Mobile App,Asia,HR Chat / Virtual Assistant,78,61.87,Alta,Chatbot o asistente virtual,666.67
18,HR System Enhancement Request,HR Document Management System,Australia,HR Chat / Virtual Assistant,77,61.8,Alta,Chatbot o asistente virtual,658.12
19,HR Platform Bug Report,Payroll System,North America,Phone,70,61.79,Alta,Automatización parcial con alertas SLA,626.22
20,Benefits Cancellation Request,Benefits Portal,South America,Employee Self-Service Portal,75,61.78,Alta,Automatización parcial con alertas SLA,611.89
21,HR System Performance Issue,Employee Mobile App,Africa,Phone,83,61.77,Alta,Automatización prioritaria,696.62
22,HR System Enhancement Request,Employee Mobile App,Africa,Internal Collaboration Tool,87,61.65,Alta,Chatbot o asistente virtual,661.07
23,HRIS Login Issue,Employee Mobile App,Africa,Email,81,61.62,Alta,Automatización prioritaria,648.08
24,Benefits Reimbursement Request,Payroll System,Europe,HR Chat / Virtual Assistant,75,61.58,Alta,Automatización parcial con alertas SLA,547.05
25,HR System Enhancement Request,Payroll System,North America,Internal Collaboration Tool,84,61.47,Alta,Chatbot o asistente virtual,677.67
26,HRIS Access Suspension,HR Case Management Platform,South America,Internal Collaboration Tool,87,61.45,Alta,Chatbot o asistente virtual,724.71
27,HR System Performance Issue,HR Case Management Platform,Europe,Internal Collaboration Tool,76,61.25,Alta,Chatbot o asistente virtual,634.68
28,HR Platform Bug Report,HR Document Management System,North America,Internal Collaboration Tool,76,61.2,Alta,Chatbot o asistente virtual,671.65
29,HR System Performance Issue,Payroll Payment Gateway,North America,Internal Collaboration Tool,76,61.18,Alta,Chatbot o asistente virtual,633.35
30,Employee Data Update,Employee Mobile App,Australia,Internal Collaboration Tool,78,61.17,Alta,Automatización parcial con alertas SLA,637.18
31,Employee Data Update,Payroll Payment Gateway,Asia,Employee Self-Service Portal,84,61.15,Alta,Workflow automation,669.73
32,HRIS Login Issue,Payroll System,South America,Phone,80,61.11,Alta,Automatización parcial con alertas SLA,631.4
33,HR Platform Bug Report,Payroll System,South America,Phone,59,60.9,Alta,Automatización parcial con alertas SLA,458.43
34,HR Platform Bug Report,HR Document Management System,Asia,Phone,80,60.8,Alta,Automatización parcial con alertas SLA,655.48
35,Benefits Cancellation Request,HR Document Management System,South America,Employee Self-Service Portal,77,60.79,Alta,Workflow automation,622.81
36,HR System Performance Issue,Payroll Payment Gateway,Europe,HR Chat / Virtual Assistant,71,60.66,Alta,Chatbot o asistente virtual,568.82
37,Employee Data Update,HR Document Management System,Africa,HR Chat / Virtual Assistant,71,60.65,Alta,Chatbot o asistente virtual,597.64
38,HRIS Login Issue,Employee Mobile App,Asia,HR Chat / Virtual Assistant,75,60.65,Alta,Chatbot o asistente virtual,588.79
39,HRIS Login Issue,HR Document Management System,Europe,HR Chat / Virtual Assistant,52,60.65,Alta,Chatbot o asistente virtual,448.81
40,Employee Data Update,Benefits Administration System,South America,Employee Self-Service Portal,81,60.57,Alta,Workflow automation,646.66
41,Employee Data Update,HR Document Management System,Europe,HR Chat / Virtual Assistant,85,60.54,Alta,Chatbot o asistente virtual,677.11
42,Benefits Cancellation Request,HRIS Integration API,Europe,HR Chat / Virtual Assistant,72,60.41,Alta,Automatización parcial con alertas SLA,536.26
43,HR System Enhancement Request,HR Case Management Platform,South America,Employee Self-Service Portal,75,60.35,Alta,Workflow automation,546.0
44,HR System Enhancement Request,HRIS Integration API,Asia,Internal Collaboration Tool,94,60.3,Alta,Chatbot o asistente virtual,660.3
45,HRIS Login Issue,HR Document Management System,North America,Employee Self-Service Portal,73,60.16,Alta,Workflow automation,605.02
46,HR System Performance Issue,People Analytics Dashboard,North America,Employee Self-Service Portal,66,60.16,Alta,Automatización parcial con alertas SLA,505.66
