feature,coefficient
numeric__total_cases,5.978373763340758
numeric__avg_resolution_time_hours,4.500566886530965
numeric__sla_breach_rate,4.4289852414498565
numeric__avg_complexity_score,3.202257687652203
numeric__avg_first_response_time_hours,2.9245319156098124
numeric__escalation_rate,2.8057371247083114
numeric__urgent_priority_rate,2.18136950092976
numeric__high_priority_rate,2.156655474194597
numeric__avg_previous_cases,1.5585994209390894
categorical__hr_system_name_Payroll System,0.434217524845328
categorical__hr_process_name_HRIS Access Suspension,0.261577298604846
categorical__hr_system_name_HR Document Management System,0.21091306415433891
categorical__region_Europe,0.18493488762997598
categorical__region_Australia,0.17574064932279615
categorical__hr_contact_channel_Employee Self-Service Portal,0.14496388492157017
categorical__hr_process_name_Benefits Reimbursement Request,0.14326968931769157
categorical__hr_process_name_Compliance & Access Security Review,0.08977703267800945
categorical__region_North America,0.08310199300808375
categorical__hr_contact_channel_Email,0.05031398479699181
categorical__hr_system_name_Payroll Payment Gateway,0.04973237346212528
